song_id,song_data,audio_feature,albums,artists
6S4WM9LW6oGkAtBFePffh2,"{'id': '6S4WM9LW6oGkAtBFePffh2', 'duration_ms': 199742, 'name': 'STUNTMAN (feat. Vince Staples)', 'popularity': 71}","{'danceability': 0.731, 'energy': 0.663, 'loudness': -7.758, 'speechiness': 0.246, 'acousticness': 0.0568, 'instrumentalness': 0, 'liveness': 0.781, 'valence': 0.43, 'tempo': 95.972}","{'id': '1GG6U2SSJPHO6XsFiBzxYv', 'name': 'CALL ME IF YOU GET LOST: The Estate Sale', 'release_date': '2023-03-31'}","{'id': '68kEuyFKyqrdQQLLsmiatm', 'name': 'Vince Staples'}"
0lqAn1YfFVQ3SdoF7tRZO2,"{'id': '0lqAn1YfFVQ3SdoF7tRZO2', 'duration_ms': 67209, 'name': 'THE BEACH', 'popularity': 66}","{'danceability': 0.593, 'energy': 0.947, 'loudness': -6.206, 'speechiness': 0.631, 'acousticness': 0.888, 'instrumentalness': 0, 'liveness': 0.823, 'valence': 0.682, 'tempo': 157.85}","{'id': '2G549zeda2XNICgLmU0pNW', 'name': 'RAMONA PARK BROKE MY HEART', 'release_date': '2022-04-08'}","{'id': '68kEuyFKyqrdQQLLsmiatm', 'name': 'Vince Staples'}"
4uQ7wYsuL0DryknoDc11Hk,"{'id': '4uQ7wYsuL0DryknoDc11Hk', 'duration_ms': 183160, 'name': 'Norf Norf', 'popularity': 66}","{'danceability': 0.925, 'energy': 0.549, 'loudness': -6.572, 'speechiness': 0.0656, 'acousticness': 0.396, 'instrumentalness': 0.000154, 'liveness': 0.11, 'valence': 0.0904, 'tempo': 100.014}","{'id': '4Csoz10NhNJOrCTUoPBdUD', 'name': ""Summertime '06"", 'release_date': '2015-06-30'}","{'id': '68kEuyFKyqrdQQLLsmiatm', 'name': 'Vince Staples'}"
7uX3gufAoBVqKVoD3dBLLD,"{'id': '7uX3gufAoBVqKVoD3dBLLD', 'duration_ms': 179015, 'name': '&burn (with Vince Staples)', 'popularity': 60}","{'danceability': 0.776, 'energy': 0.379, 'loudness': -9.351, 'speechiness': 0.331, 'acousticness': 0.213, 'instrumentalness': 0.00175, 'liveness': 0.0969, 'valence': 0.346, 'tempo': 82.531}","{'id': '6eQpKhYCtvD0TwXQVHsgC2', 'name': '&burn (with Vince Staples)', 'release_date': '2017-12-15'}","{'id': '68kEuyFKyqrdQQLLsmiatm', 'name': 'Vince Staples'}"
5OFEJMirg4NPz7G1zgXDYu,"{'id': '5OFEJMirg4NPz7G1zgXDYu', 'duration_ms': 138410, 'name': 'ARE YOU WITH THAT?', 'popularity': 64}","{'danceability': 0.859, 'energy': 0.423, 'loudness': -10.698, 'speechiness': 0.283, 'acousticness': 0.543, 'instrumentalness': 0, 'liveness': 0.104, 'valence': 0.563, 'tempo': 125.89}","{'id': '2suR5CCbtL2Wq8ShFo8rFr', 'name': 'Vince Staples', 'release_date': '2021-07-09'}","{'id': '68kEuyFKyqrdQQLLsmiatm', 'name': 'Vince Staples'}"
3Vj8RQkFwOmDvUrwu6MtQZ,"{'id': '3Vj8RQkFwOmDvUrwu6MtQZ', 'duration_ms': 143830, 'name': 'Yo Love - From ""Queen & Slim: The Soundtrack""', 'popularity': 65}","{'danceability': 0.703, 'energy': 0.573, 'loudness': -9.032, 'speechiness': 0.0724, 'acousticness': 0.565, 'instrumentalness': 3.13e-06, 'liveness': 0.0987, 'valence': 0.491, 'tempo': 147.038}","{'id': '09VyQ2zwUx0EBKTJNBUZv1', 'name': 'Yo Love (From ""Queen & Slim: The Soundtrack"")', 'release_date': '2019-11-11'}","{'id': '68kEuyFKyqrdQQLLsmiatm', 'name': 'Vince Staples'}"
7pBsquIkbED6W6uSQJGbkn,"{'id': '7pBsquIkbED6W6uSQJGbkn', 'duration_ms': 211360, 'name': 'Home', 'popularity': 63}","{'danceability': 0.604, 'energy': 0.736, 'loudness': -5.596, 'speechiness': 0.0555, 'acousticness': 0.00608, 'instrumentalness': 0.109, 'liveness': 0.11, 'valence': 0.345, 'tempo': 118.012}","{'id': '35s58BRTGAEWztPo9WqCIs', 'name': 'Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)', 'release_date': '2018-12-14'}","{'id': '68kEuyFKyqrdQQLLsmiatm', 'name': 'Vince Staples'}"
7jN5Abri3a1crehbnlWa1F,"{'id': '7jN5Abri3a1crehbnlWa1F', 'duration_ms': 226006, 'name': 'MAGIC', 'popularity': 56}","{'danceability': 0.743, 'energy': 0.601, 'loudness': -6.684, 'speechiness': 0.181, 'acousticness': 0.272, 'instrumentalness': 9.65e-05, 'liveness': 0.496, 'valence': 0.284, 'tempo': 89.97}","{'id': '2G549zeda2XNICgLmU0pNW', 'name': 'RAMONA PARK BROKE MY HEART', 'release_date': '2022-04-08'}","{'id': '68kEuyFKyqrdQQLLsmiatm', 'name': 'Vince Staples'}"
1jhdCONafFj1hzJsPvZx27,"{'id': '1jhdCONafFj1hzJsPvZx27', 'duration_ms': 227873, 'name': 'WHEN SPARKS FLY', 'popularity': 60}","{'danceability': 0.699, 'energy': 0.782, 'loudness': -5.538, 'speechiness': 0.124, 'acousticness': 0.00664, 'instrumentalness': 0.000517, 'liveness': 0.182, 'valence': 0.227, 'tempo': 161.721}","{'id': '2G549zeda2XNICgLmU0pNW', 'name': 'RAMONA PARK BROKE MY HEART', 'release_date': '2022-04-08'}","{'id': '68kEuyFKyqrdQQLLsmiatm', 'name': 'Vince Staples'}"
6eL1ncVDtQHgSm3E288TS7,"{'id': '6eL1ncVDtQHgSm3E288TS7', 'duration_ms': 198133, 'name': 'Big Fish', 'popularity': 59}","{'danceability': 0.898, 'energy': 0.547, 'loudness': -5.707, 'speechiness': 0.313, 'acousticness': 0.484, 'instrumentalness': 1.04e-05, 'liveness': 0.37, 'valence': 0.763, 'tempo': 100.01}","{'id': '5h3WJG0aZjNOrayFu3MhCS', 'name': 'Big Fish Theory', 'release_date': '2017-06-23'}","{'id': '68kEuyFKyqrdQQLLsmiatm', 'name': 'Vince Staples'}"
7foypmc7KZyU716Yv63BPe,"{'id': '7foypmc7KZyU716Yv63BPe', 'duration_ms': 140792, 'name': 'Saint', 'popularity': 67}","{'danceability': 0.866, 'energy': 0.648, 'loudness': -3.675, 'speechiness': 0.0543, 'acousticness': 0.009, 'instrumentalness': 0, 'liveness': 0.0967, 'valence': 0.0798, 'tempo': 150.058}","{'id': '6FED8aeieEnUWwQqAO9zT1', 'name': 'Huncho Jack, Jack Huncho', 'release_date': '2017-12-21'}","{'id': '0VRj0yCOv2FXJNP47XQnx5', 'name': 'Quavo'}"
7g7raxdQpiLZT7aOlib4S1,"{'id': '7g7raxdQpiLZT7aOlib4S1', 'duration_ms': 191409, 'name': 'Motorcycle Patches', 'popularity': 63}","{'danceability': 0.868, 'energy': 0.657, 'loudness': -4.853, 'speechiness': 0.113, 'acousticness': 0.0158, 'instrumentalness': 0, 'liveness': 0.0995, 'valence': 0.436, 'tempo': 162.867}","{'id': '6FED8aeieEnUWwQqAO9zT1', 'name': 'Huncho Jack, Jack Huncho', 'release_date': '2017-12-21'}","{'id': '6extd4B6hl8VTmnlhpl2bY', 'name': 'Huncho Jack'}"
6urLjX35oXXRYtcH1b3dCh,"{'id': '6urLjX35oXXRYtcH1b3dCh', 'duration_ms': 228431, 'name': 'Dubai Shit', 'popularity': 62}","{'danceability': 0.774, 'energy': 0.529, 'loudness': -4.479, 'speechiness': 0.0532, 'acousticness': 0.0674, 'instrumentalness': 0, 'liveness': 0.0814, 'valence': 0.227, 'tempo': 138.072}","{'id': '6FED8aeieEnUWwQqAO9zT1', 'name': 'Huncho Jack, Jack Huncho', 'release_date': '2017-12-21'}","{'id': '6extd4B6hl8VTmnlhpl2bY', 'name': 'Huncho Jack'}"
628Ueb4sRiXApObhcU9iPU,"{'id': '628Ueb4sRiXApObhcU9iPU', 'duration_ms': 172016, 'name': 'Black & Chinese', 'popularity': 62}","{'danceability': 0.668, 'energy': 0.844, 'loudness': -4.151, 'speechiness': 0.0956, 'acousticness': 0.00389, 'instrumentalness': 0.00879, 'liveness': 0.119, 'valence': 0.33, 'tempo': 159.108}","{'id': '6FED8aeieEnUWwQqAO9zT1', 'name': 'Huncho Jack, Jack Huncho', 'release_date': '2017-12-21'}","{'id': '6extd4B6hl8VTmnlhpl2bY', 'name': 'Huncho Jack'}"
7J6bnDDitOwfelaJNixHhL,"{'id': '7J6bnDDitOwfelaJNixHhL', 'duration_ms': 148559, 'name': 'Modern Slavery', 'popularity': 60}","{'danceability': 0.765, 'energy': 0.733, 'loudness': -3.509, 'speechiness': 0.165, 'acousticness': 0.00186, 'instrumentalness': 0, 'liveness': 0.297, 'valence': 0.495, 'tempo': 133.966}","{'id': '6FED8aeieEnUWwQqAO9zT1', 'name': 'Huncho Jack, Jack Huncho', 'release_date': '2017-12-21'}","{'id': '6extd4B6hl8VTmnlhpl2bY', 'name': 'Huncho Jack'}"
7bTH8LgGSwyNNE4r1k95Zp,"{'id': '7bTH8LgGSwyNNE4r1k95Zp', 'duration_ms': 151183, 'name': 'Moon Rock', 'popularity': 58}","{'danceability': 0.72, 'energy': 0.717, 'loudness': -4.043, 'speechiness': 0.046, 'acousticness': 0.0092, 'instrumentalness': 0, 'liveness': 0.147, 'valence': 0.198, 'tempo': 142.926}","{'id': '6FED8aeieEnUWwQqAO9zT1', 'name': 'Huncho Jack, Jack Huncho', 'release_date': '2017-12-21'}","{'id': '6extd4B6hl8VTmnlhpl2bY', 'name': 'Huncho Jack'}"
7CWiWkccuRRdrmaW6AjVEf,"{'id': '7CWiWkccuRRdrmaW6AjVEf', 'duration_ms': 205681, 'name': 'How U Feel', 'popularity': 58}","{'danceability': 0.86, 'energy': 0.799, 'loudness': -2.446, 'speechiness': 0.149, 'acousticness': 0.0532, 'instrumentalness': 2.54e-05, 'liveness': 0.369, 'valence': 0.491, 'tempo': 140.005}","{'id': '6FED8aeieEnUWwQqAO9zT1', 'name': 'Huncho Jack, Jack Huncho', 'release_date': '2017-12-21'}","{'id': '6extd4B6hl8VTmnlhpl2bY', 'name': 'Huncho Jack'}"
