song_id,song_data,audio_feature,albums,artists
2oWbOh3tLluqTdYL5OEDvs,"{'id': '2oWbOh3tLluqTdYL5OEDvs', 'duration_ms': 257120, 'name': 'A Bay Bay - Single Version', 'popularity': 53}","{'danceability': 0.577, 'energy': 0.668, 'loudness': -4.884, 'speechiness': 0.514, 'acousticness': 0.105, 'instrumentalness': 0, 'liveness': 0.0924, 'valence': 0.702, 'tempo': 60.709}","{'id': '7efn7gwDPXwdXBgfwyVoKQ', 'name': 'A Bay Bay', 'release_date': '2007-06-19'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
63XXvHR6FfiRDk5lKNNCMI,"{'id': '63XXvHR6FfiRDk5lKNNCMI', 'duration_ms': 281480, 'name': ""Halle Berry (She's Fine) (feat. Superstarr)"", 'popularity': 51}","{'danceability': 0.709, 'energy': 0.744, 'loudness': -5.905, 'speechiness': 0.134, 'acousticness': 0.0119, 'instrumentalness': 0, 'liveness': 0.0609, 'valence': 0.508, 'tempo': 145.112}","{'id': '4tX8assGk2HIZB1Hh2a5la', 'name': 'Unleashed', 'release_date': '2009-12-18'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
6oaRryJqMWpEHt99ViMX0c,"{'id': '6oaRryJqMWpEHt99ViMX0c', 'duration_ms': 306893, 'name': 'A Bay Bay', 'popularity': 43}","{'danceability': 0.615, 'energy': 0.696, 'loudness': -4.92, 'speechiness': 0.537, 'acousticness': 0.102, 'instrumentalness': 0, 'liveness': 0.13, 'valence': 0.722, 'tempo': 153.96}","{'id': '5LcmD1KwDZV4TZXuPSH24t', 'name': '51/50 Ratchet', 'release_date': '2007-10-16'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
0BmMF4Ela3cuq4t3Q7bVqb,"{'id': '0BmMF4Ela3cuq4t3Q7bVqb', 'duration_ms': 134384, 'name': 'My Bay', 'popularity': 42}","{'danceability': 0.735, 'energy': 0.723, 'loudness': -9.467, 'speechiness': 0.156, 'acousticness': 0.0192, 'instrumentalness': 1.23e-06, 'liveness': 0.25, 'valence': 0.43, 'tempo': 133.976}","{'id': '49Bx3XAdIoxzQTBL38qMnf', 'name': 'My Bay', 'release_date': '2022-03-15'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
67icOKI4mrLduc9ddfmY51,"{'id': '67icOKI4mrLduc9ddfmY51', 'duration_ms': 237080, 'name': 'Headboard (feat. Mario & Plies)', 'popularity': 34}","{'danceability': 0.645, 'energy': 0.682, 'loudness': -5.875, 'speechiness': 0.268, 'acousticness': 0.0501, 'instrumentalness': 0, 'liveness': 0.732, 'valence': 0.443, 'tempo': 82.074}","{'id': '4tX8assGk2HIZB1Hh2a5la', 'name': 'Unleashed', 'release_date': '2009-12-18'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
7qaRLED0RO0g3TIif4rkyH,"{'id': '7qaRLED0RO0g3TIif4rkyH', 'duration_ms': 204000, 'name': 'Sections (feat. Ty Dolla $Ign)', 'popularity': 25}","{'danceability': 0.593, 'energy': 0.602, 'loudness': -6.213, 'speechiness': 0.451, 'acousticness': 0.0121, 'instrumentalness': 0, 'liveness': 0.131, 'valence': 0.571, 'tempo': 193.33}","{'id': '5hPr7sDBjwGVnbA5XwAPsA', 'name': 'Sections (feat. Ty Dolla $Ign)', 'release_date': '2015-09-28'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
0sqW0ifkApl9dzYEDHBXqI,"{'id': '0sqW0ifkApl9dzYEDHBXqI', 'duration_ms': 153648, 'name': 'Lit', 'popularity': 20}","{'danceability': 0.808, 'energy': 0.673, 'loudness': -5.839, 'speechiness': 0.0505, 'acousticness': 0.000104, 'instrumentalness': 0, 'liveness': 0.125, 'valence': 0.309, 'tempo': 150.086}","{'id': '3Xn1fnw8wFJAYThGJ0wSFV', 'name': 'Lit', 'release_date': '2023-04-07'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
3vrM7ro6LjxCpBSBeLIfrx,"{'id': '3vrM7ro6LjxCpBSBeLIfrx', 'duration_ms': 254253, 'name': 'Coke Bottle (feat. Mouse)', 'popularity': 15}","{'danceability': 0.722, 'energy': 0.809, 'loudness': -3.793, 'speechiness': 0.262, 'acousticness': 0.0536, 'instrumentalness': 0, 'liveness': 0.0841, 'valence': 0.668, 'tempo': 153.973}","{'id': '4tX8assGk2HIZB1Hh2a5la', 'name': 'Unleashed', 'release_date': '2009-12-18'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
4hp8j244Wcnwp5U4jgFN1k,"{'id': '4hp8j244Wcnwp5U4jgFN1k', 'duration_ms': 196506, 'name': 'Beat It Out The Frame', 'popularity': 14}","{'danceability': 0.803, 'energy': 0.707, 'loudness': -5.966, 'speechiness': 0.0738, 'acousticness': 0.0014, 'instrumentalness': 0, 'liveness': 0.123, 'valence': 0.344, 'tempo': 93.004}","{'id': '4tX8assGk2HIZB1Hh2a5la', 'name': 'Unleashed', 'release_date': '2009-12-18'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
0589drn5Sy17CXVXor6m3M,"{'id': '0589drn5Sy17CXVXor6m3M', 'duration_ms': 196056, 'name': 'Jungle Fever', 'popularity': 14}","{'danceability': 0.926, 'energy': 0.554, 'loudness': -6.014, 'speechiness': 0.312, 'acousticness': 0.00909, 'instrumentalness': 0, 'liveness': 0.0885, 'valence': 0.568, 'tempo': 120.027}","{'id': '4mPfdh84HHm4hopc9kFlOY', 'name': 'Jungle Fever', 'release_date': '2022-07-11'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
5eHcSqMgtjtFEyLQLP2PSv,"{'id': '5eHcSqMgtjtFEyLQLP2PSv', 'duration_ms': 313240, 'name': 'Gangsters & Players', 'popularity': 37}","{'danceability': 0.968, 'energy': 0.551, 'loudness': -5.204, 'speechiness': 0.234, 'acousticness': 0.0557, 'instrumentalness': 0, 'liveness': 0.488, 'valence': 0.617, 'tempo': 107.016}","{'id': '1IdwHM0xJHTwaolrwdwVBV', 'name': 'Westside Cartel', 'release_date': '2007'}","{'id': '6Uo1hEkf3QaOtDEN5frwVq', 'name': 'Westside Cartel'}"
3jOqdhUsgluoqoxfusSR61,"{'id': '3jOqdhUsgluoqoxfusSR61', 'duration_ms': 291053, 'name': 'Do U Wanna Feel My Luv (feat. Chito Perro)', 'popularity': 24}","{'danceability': 0.914, 'energy': 0.581, 'loudness': -12.548, 'speechiness': 0.208, 'acousticness': 0.184, 'instrumentalness': 9.46e-06, 'liveness': 0.259, 'valence': 0.885, 'tempo': 123.194}","{'id': '6Mu9kvnvpOIIvgHlj3wbJm', 'name': 'Presents Tiny And Clever', 'release_date': '2022-09-16'}","{'id': '6Uo1hEkf3QaOtDEN5frwVq', 'name': 'Westside Cartel'}"
7FTpk4aQnLhuwkUg3eE16Z,"{'id': '7FTpk4aQnLhuwkUg3eE16Z', 'duration_ms': 278920, 'name': 'Cruisin Down Bristol', 'popularity': 35}","{'danceability': 0.936, 'energy': 0.561, 'loudness': -5.504, 'speechiness': 0.261, 'acousticness': 0.69, 'instrumentalness': 9.46e-05, 'liveness': 0.129, 'valence': 0.782, 'tempo': 94.856}","{'id': '1IdwHM0xJHTwaolrwdwVBV', 'name': 'Westside Cartel', 'release_date': '2007'}","{'id': '6Uo1hEkf3QaOtDEN5frwVq', 'name': 'Westside Cartel'}"
6h85ezqXHTVvT5mXib6mk6,"{'id': '6h85ezqXHTVvT5mXib6mk6', 'duration_ms': 187893, 'name': 'Im a southsider', 'popularity': 35}","{'danceability': 0.766, 'energy': 0.584, 'loudness': -14.788, 'speechiness': 0.345, 'acousticness': 0.0385, 'instrumentalness': 0.0179, 'liveness': 0.472, 'valence': 0.744, 'tempo': 173.946}","{'id': '6lbtmYIOOzufw4apRkv5c2', 'name': 'California Sluggs', 'release_date': '2019-08-30'}","{'id': '6Uo1hEkf3QaOtDEN5frwVq', 'name': 'Westside Cartel'}"
7fHzpMuyHSJ4eHEjtZ6asg,"{'id': '7fHzpMuyHSJ4eHEjtZ6asg', 'duration_ms': 192000, 'name': 'Back Up In The House', 'popularity': 34}","{'danceability': 0.965, 'energy': 0.65, 'loudness': -8.642, 'speechiness': 0.309, 'acousticness': 0.395, 'instrumentalness': 0, 'liveness': 0.0783, 'valence': 0.646, 'tempo': 116.029}","{'id': '2CcjicpnYMuiSXRDRGXpaC', 'name': 'Still Standing', 'release_date': '2004-06-18'}","{'id': '28gYepghWimZ3Eh8Gj2hOO', 'name': 'Lyrical'}"
3HlTphIccl1euxTIYpylKs,"{'id': '3HlTphIccl1euxTIYpylKs', 'duration_ms': 101346, 'name': 'Crime Pays (Mr. Hype, Joker)', 'popularity': 34}","{'danceability': 0.935, 'energy': 0.611, 'loudness': -8.362, 'speechiness': 0.314, 'acousticness': 0.0453, 'instrumentalness': 0, 'liveness': 0.0627, 'valence': 0.534, 'tempo': 97.501}","{'id': '1GnZfxTZ3ikIE4EgGKIlKl', 'name': 'Santa Ana Most Wanted', 'release_date': '2006'}","{'id': '6Uo1hEkf3QaOtDEN5frwVq', 'name': 'Westside Cartel'}"
6JUzLQeICAw9LBsUgpg1w0,"{'id': '6JUzLQeICAw9LBsUgpg1w0', 'duration_ms': 110942, 'name': 'Supaman', 'popularity': 29}","{'danceability': 0.907, 'energy': 0.571, 'loudness': -8.35, 'speechiness': 0.318, 'acousticness': 0.0161, 'instrumentalness': 0, 'liveness': 0.153, 'valence': 0.636, 'tempo': 90.966}","{'id': '29x8zoGlIJrNHswkZZgXkq', 'name': 'For The Streets', 'release_date': '2023-05-15'}","{'id': '6Uo1hEkf3QaOtDEN5frwVq', 'name': 'Westside Cartel'}"
1chTASSqSRn4ZfoShARYB5,"{'id': '1chTASSqSRn4ZfoShARYB5', 'duration_ms': 245893, 'name': 'Real Oc Gz', 'popularity': 28}","{'danceability': 0.881, 'energy': 0.567, 'loudness': -9.385, 'speechiness': 0.343, 'acousticness': 0.618, 'instrumentalness': 0, 'liveness': 0.294, 'valence': 0.53, 'tempo': 100.011}","{'id': '68N4VXb5AV2uqVgw2rhYnW', 'name': 'West Side Classic Hits', 'release_date': '2020-12-18'}","{'id': '6Uo1hEkf3QaOtDEN5frwVq', 'name': 'Westside Cartel'}"
