,artist_id,artist_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1fQ46lgoUCz8FVXdTVNk0a,1fQ46lgoUCz8FVXdTVNk0a,Hurricane Chris,0.71,0.69,-5.89,0.28,0.04,0.0,0.18,0.53,128.63
6Uo1hEkf3QaOtDEN5frwVq,6Uo1hEkf3QaOtDEN5frwVq,Westside Cartel,0.89,0.57,-9.31,0.28,0.22,0.0,0.23,0.64,108.23
28gYepghWimZ3Eh8Gj2hOO,28gYepghWimZ3Eh8Gj2hOO,Lyrical,0.9,0.67,-5.91,0.28,0.22,0.0,0.15,0.63,104.2
3EsPYCSw4x0PlRiRgsaxjj,3EsPYCSw4x0PlRiRgsaxjj,Herschelwood Hardheadz,0.71,0.63,-6.9,0.26,0.08,0.0,0.15,0.56,119.28
6VOP45QGqtvMWZ2AnjdiyM,6VOP45QGqtvMWZ2AnjdiyM,Mr Trippalot,0.77,0.69,-7.82,0.18,0.09,0.08,0.29,0.64,104.5
4L02qjtK3vNGZpz7hEMMfM,4L02qjtK3vNGZpz7hEMMfM,Big Steve,0.73,0.58,-6.81,0.37,0.11,0.0,0.24,0.62,92.93
7pIqsVZsqXQKNI79BABYi8,7pIqsVZsqXQKNI79BABYi8,Merro,0.73,0.79,-4.93,0.11,0.28,0.0,0.29,0.58,105.99
4udRIlOSZJ8snXyJYJgEE0,4udRIlOSZJ8snXyJYJgEE0,Hugh Mundell,0.76,0.42,-12.37,0.14,0.11,0.1,0.13,0.71,128.9
7v9bFXCdSMA2o3gS4nvp0F,7v9bFXCdSMA2o3gS4nvp0F,Pimp C,0.74,0.72,-5.84,0.22,0.05,0.0,0.22,0.52,106.04
3sxMqvKboYdEkFJsE8NKlx,3sxMqvKboYdEkFJsE8NKlx,Proper Dos,0.8,0.74,-6.44,0.22,0.17,0.0,0.15,0.68,108.1
5rKUslBe3bJw0QiQ7rsEyN,5rKUslBe3bJw0QiQ7rsEyN,Fakkulty,0.72,0.79,-6.1,0.25,0.05,0.0,0.21,0.7,93.45
3IbbhZMhvYcCTmqWNP3qA1,3IbbhZMhvYcCTmqWNP3qA1,Tum Tum,0.77,0.58,-7.7,0.27,0.02,0.0,0.16,0.57,141.25
7JFXIgxfNfMRmMj8NPRFb9,7JFXIgxfNfMRmMj8NPRFb9,Big Tuck,0.71,0.72,-5.82,0.3,0.06,0.0,0.25,0.57,128.96
6JsAiEcQyEkY9c5Cv5IIwv,6JsAiEcQyEkY9c5Cv5IIwv,Fat Bastard,0.75,0.54,-8.68,0.43,0.16,0.0,0.32,0.55,114.89
68jLiaqKg9hQGgiM0qGGif,68jLiaqKg9hQGgiM0qGGif,Mr. Lucci,0.84,0.55,-8.81,0.28,0.07,0.0,0.25,0.68,124.15
