artist_id,artist_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
68kEuyFKyqrdQQLLsmiatm,Vince Staples,0.75,0.62,-7.31,0.23,0.34,0.01,0.32,0.42,117.9
0VRj0yCOv2FXJNP47XQnx5,Quavo,0.76,0.65,-5.36,0.16,0.12,0.0,0.15,0.42,143.1
6extd4B6hl8VTmnlhpl2bY,Huncho Jack,0.78,0.7,-3.87,0.1,0.03,0.0,0.18,0.3,144.23
7v9bFXCdSMA2o3gS4nvp0F,Pimp C,0.74,0.72,-5.84,0.22,0.05,0.0,0.22,0.52,106.04
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,0.8,0.61,-6.29,0.13,0.15,0.0,0.16,0.45,120.63
13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,0.76,0.61,-7.34,0.23,0.08,0.0,0.2,0.52,143.53
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,0.79,0.59,-7.84,0.2,0.16,0.0,0.2,0.44,110.01
6oMuImdp5ZcFhWP0ESe6mG,Migos,0.86,0.66,-5.17,0.18,0.12,0.0,0.17,0.42,145.4
0c173mlxpT3dSFRgMO8XPh,Big Sean,0.75,0.62,-5.96,0.15,0.12,0.0,0.3,0.4,115.4
0399oiMcmbOzzsYQDNYqxn,Problem,0.76,0.58,-8.22,0.18,0.14,0.0,0.18,0.45,108.48
53vU7rkyiBnzwJiNRtsVhP,El Dreamer,0.7,0.58,-9.22,0.11,0.29,0.0,0.19,0.57,122.25
28ExwzUQsvgJooOI0X1mr3,Jay Rock,0.74,0.68,-5.74,0.24,0.1,0.0,0.19,0.48,119.32
0g9vAlRPK9Gt3FKCekk4TW,Ab-Soul,0.63,0.7,-7.24,0.28,0.18,0.0,0.19,0.5,120.66
1LLLSWPhaDaK6GptiHF6E7,DJ Sancho,0.71,0.72,-6.64,0.08,0.15,0.06,0.16,0.7,122.1
0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,0.61,0.64,-4.9,0.14,0.06,0.0,0.21,0.4,122.0
5uocog8cIUnlVgSR6NME6C,Pharoah,0.71,0.6,-7.93,0.25,0.12,0.03,0.16,0.44,126.22
169dGCqUzDYKQzeR5sU2DT,Wreckless Klan,0.64,0.46,-12.87,0.28,0.05,0.04,0.17,0.43,118.68
75WcpJKWXBV3o3cfluWapK,Lute,0.72,0.64,-6.46,0.26,0.27,0.0,0.18,0.44,109.92
1iNqsUDUraNWrj00bqssQG,Dreamville,0.68,0.64,-6.66,0.34,0.24,0.0,0.12,0.48,134.72
70gP6Ry4Uo0Yx6uzPIdaiJ,Bas,0.73,0.56,-7.37,0.16,0.35,0.0,0.17,0.45,119.88
