,song_data,audio_feature,albums,artists
0nbXyq5TXYPCO7pr3N8S4I,"{'id': '0nbXyq5TXYPCO7pr3N8S4I', 'duration_ms': 196652, 'name': 'The Box', 'popularity': 84}","{'danceability': 0.896, 'energy': 0.586, 'loudness': -6.687, 'speechiness': 0.0559, 'acousticness': 0.104, 'instrumentalness': 0, 'liveness': 0.79, 'valence': 0.642, 'tempo': 116.971}","{'id': '52u4anZbHd6UInnmHRFzba', 'name': 'Please Excuse Me for Being Antisocial', 'release_date': '2019-12-06'}","{'id': '757aE44tKEUQEqRuT6GnEB', 'name': 'Roddy Ricch'}"
3QzAOrNlsabgbMwlZt7TAY,"{'id': '3QzAOrNlsabgbMwlZt7TAY', 'duration_ms': 180434, 'name': ""Ballin' (with Roddy Ricch)"", 'popularity': 83}","{'danceability': 0.809, 'energy': 0.545, 'loudness': -6.678, 'speechiness': 0.0735, 'acousticness': 0.392, 'instrumentalness': 0, 'liveness': 0.151, 'valence': 0.244, 'tempo': 97.008}","{'id': '2WrNHOba5u6P9S9xEboaUy', 'name': 'Perfect Ten', 'release_date': '2019-06-28'}","{'id': '757aE44tKEUQEqRuT6GnEB', 'name': 'Roddy Ricch'}"
32vE1nuG8T9c8bhmZdRY6d,"{'id': '32vE1nuG8T9c8bhmZdRY6d', 'duration_ms': 185857, 'name': 'Cooped Up (with Roddy Ricch)', 'popularity': 76}","{'danceability': 0.669, 'energy': 0.773, 'loudness': -5.619, 'speechiness': 0.153, 'acousticness': 0.038, 'instrumentalness': 0, 'liveness': 0.113, 'valence': 0.377, 'tempo': 93.923}","{'id': '3HHNR44YbP7XogMVwzbodx', 'name': 'Twelve Carat Toothache', 'release_date': '2022-06-03'}","{'id': '757aE44tKEUQEqRuT6GnEB', 'name': 'Roddy Ricch'}"
1Z0cZI0UzNbP9L8MzzGxqf,"{'id': '1Z0cZI0UzNbP9L8MzzGxqf', 'duration_ms': 173288, 'name': 'Walk Em Down (feat. Roddy Ricch)', 'popularity': 75}","{'danceability': 0.867, 'energy': 0.744, 'loudness': -5.171, 'speechiness': 0.227, 'acousticness': 0.268, 'instrumentalness': 0, 'liveness': 0.0713, 'valence': 0.645, 'tempo': 84.005}","{'id': '4dsMe3EBC8xURaxMhyorgf', 'name': 'Top Shotta', 'release_date': '2020-08-10'}","{'id': '757aE44tKEUQEqRuT6GnEB', 'name': 'Roddy Ricch'}"
4SWWe2OYC4mqf40Gc2RSdl,"{'id': '4SWWe2OYC4mqf40Gc2RSdl', 'duration_ms': 224002, 'name': 'Down Below', 'popularity': 77}","{'danceability': 0.926, 'energy': 0.454, 'loudness': -9.932, 'speechiness': 0.0732, 'acousticness': 0.036, 'instrumentalness': 0.000422, 'liveness': 0.0896, 'valence': 0.34, 'tempo': 119.969}","{'id': '1jlIU9p7PChTK3AeqNpnsX', 'name': 'Feed Tha Streets II', 'release_date': '2018-11-02'}","{'id': '757aE44tKEUQEqRuT6GnEB', 'name': 'Roddy Ricch'}"
3xOEfEmsrLwf9jcG4gErdA,"{'id': '3xOEfEmsrLwf9jcG4gErdA', 'duration_ms': 218172, 'name': 'Pissy (feat. Roddy Ricch, Nardo Wick)', 'popularity': 76}","{'danceability': 0.812, 'energy': 0.63, 'loudness': -8.207, 'speechiness': 0.266, 'acousticness': 0.0224, 'instrumentalness': 0, 'liveness': 0.0699, 'valence': 0.332, 'tempo': 132.957}","{'id': '2dd8aKS08SH8ly3aNFpKl8', 'name': 'Pissy (feat. Roddy Ricch, Nardo Wick)', 'release_date': '2023-05-05'}","{'id': '13y7CgLHjMVRMDqxdx0Xdo', 'name': 'Gucci Mane'}"
6kksmL4t09IgxhajuVDDxR,"{'id': '6kksmL4t09IgxhajuVDDxR', 'duration_ms': 174549, 'name': 'late at night', 'popularity': 71}","{'danceability': 0.621, 'energy': 0.405, 'loudness': -11.26, 'speechiness': 0.437, 'acousticness': 0.382, 'instrumentalness': 0, 'liveness': 0.152, 'valence': 0.141, 'tempo': 98.427}","{'id': '1eVrpJbHRLBbioB9sb5b94', 'name': 'LIVE LIFE FAST', 'release_date': '2021-12-17'}","{'id': '757aE44tKEUQEqRuT6GnEB', 'name': 'Roddy Ricch'}"
07KXEDMj78x68D884wgVEm,"{'id': '07KXEDMj78x68D884wgVEm', 'duration_ms': 220486, 'name': 'High Fashion (feat. Mustard)', 'popularity': 73}","{'danceability': 0.831, 'energy': 0.499, 'loudness': -8.442, 'speechiness': 0.114, 'acousticness': 0.269, 'instrumentalness': 0, 'liveness': 0.3, 'valence': 0.511, 'tempo': 97.956}","{'id': '52u4anZbHd6UInnmHRFzba', 'name': 'Please Excuse Me for Being Antisocial', 'release_date': '2019-12-06'}","{'id': '757aE44tKEUQEqRuT6GnEB', 'name': 'Roddy Ricch'}"
1mAey8kEPmDM2icL56kS9d,"{'id': '1mAey8kEPmDM2icL56kS9d', 'duration_ms': 156367, 'name': '4 Da Gang (with Roddy Ricch)', 'popularity': 73}","{'danceability': 0.87, 'energy': 0.561, 'loudness': -10.388, 'speechiness': 0.186, 'acousticness': 0.0124, 'instrumentalness': 0, 'liveness': 0.103, 'valence': 0.691, 'tempo': 100.458}","{'id': '4zJiUubJvgUJNq0BVD9Mvs', 'name': 'Free Dem Boyz', 'release_date': '2021-05-21'}","{'id': '757aE44tKEUQEqRuT6GnEB', 'name': 'Roddy Ricch'}"
7adbMZF8ctKOaEFBkA5Qxp,"{'id': '7adbMZF8ctKOaEFBkA5Qxp', 'duration_ms': 111709, 'name': 'Stop Breathing', 'popularity': 68}","{'danceability': 0.586, 'energy': 0.689, 'loudness': -6.04, 'speechiness': 0.425, 'acousticness': 0.0434, 'instrumentalness': 0, 'liveness': 0.184, 'valence': 0.456, 'tempo': 158.457}","{'id': '2ZiBfBw770CJC0f4SI1Tji', 'name': 'Feed Tha Streets III', 'release_date': '2022-11-18'}","{'id': '757aE44tKEUQEqRuT6GnEB', 'name': 'Roddy Ricch'}"
2oWbOh3tLluqTdYL5OEDvs,"{'id': '2oWbOh3tLluqTdYL5OEDvs', 'duration_ms': 257120, 'name': 'A Bay Bay - Single Version', 'popularity': 53}","{'danceability': 0.577, 'energy': 0.668, 'loudness': -4.884, 'speechiness': 0.514, 'acousticness': 0.105, 'instrumentalness': 0, 'liveness': 0.0924, 'valence': 0.702, 'tempo': 60.709}","{'id': '7efn7gwDPXwdXBgfwyVoKQ', 'name': 'A Bay Bay', 'release_date': '2007-06-19'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
63XXvHR6FfiRDk5lKNNCMI,"{'id': '63XXvHR6FfiRDk5lKNNCMI', 'duration_ms': 281480, 'name': ""Halle Berry (She's Fine) (feat. Superstarr)"", 'popularity': 51}","{'danceability': 0.709, 'energy': 0.744, 'loudness': -5.905, 'speechiness': 0.134, 'acousticness': 0.0119, 'instrumentalness': 0, 'liveness': 0.0609, 'valence': 0.508, 'tempo': 145.112}","{'id': '4tX8assGk2HIZB1Hh2a5la', 'name': 'Unleashed', 'release_date': '2009-12-18'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
6oaRryJqMWpEHt99ViMX0c,"{'id': '6oaRryJqMWpEHt99ViMX0c', 'duration_ms': 306893, 'name': 'A Bay Bay', 'popularity': 43}","{'danceability': 0.615, 'energy': 0.696, 'loudness': -4.92, 'speechiness': 0.537, 'acousticness': 0.102, 'instrumentalness': 0, 'liveness': 0.13, 'valence': 0.722, 'tempo': 153.96}","{'id': '5LcmD1KwDZV4TZXuPSH24t', 'name': '51/50 Ratchet', 'release_date': '2007-10-16'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
0BmMF4Ela3cuq4t3Q7bVqb,"{'id': '0BmMF4Ela3cuq4t3Q7bVqb', 'duration_ms': 134384, 'name': 'My Bay', 'popularity': 42}","{'danceability': 0.735, 'energy': 0.723, 'loudness': -9.467, 'speechiness': 0.156, 'acousticness': 0.0192, 'instrumentalness': 1.23e-06, 'liveness': 0.25, 'valence': 0.43, 'tempo': 133.976}","{'id': '49Bx3XAdIoxzQTBL38qMnf', 'name': 'My Bay', 'release_date': '2022-03-15'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
67icOKI4mrLduc9ddfmY51,"{'id': '67icOKI4mrLduc9ddfmY51', 'duration_ms': 237080, 'name': 'Headboard (feat. Mario & Plies)', 'popularity': 34}","{'danceability': 0.645, 'energy': 0.682, 'loudness': -5.875, 'speechiness': 0.268, 'acousticness': 0.0501, 'instrumentalness': 0, 'liveness': 0.732, 'valence': 0.443, 'tempo': 82.074}","{'id': '4tX8assGk2HIZB1Hh2a5la', 'name': 'Unleashed', 'release_date': '2009-12-18'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
7qaRLED0RO0g3TIif4rkyH,"{'id': '7qaRLED0RO0g3TIif4rkyH', 'duration_ms': 204000, 'name': 'Sections (feat. Ty Dolla $Ign)', 'popularity': 25}","{'danceability': 0.593, 'energy': 0.602, 'loudness': -6.213, 'speechiness': 0.451, 'acousticness': 0.0121, 'instrumentalness': 0, 'liveness': 0.131, 'valence': 0.571, 'tempo': 193.33}","{'id': '5hPr7sDBjwGVnbA5XwAPsA', 'name': 'Sections (feat. Ty Dolla $Ign)', 'release_date': '2015-09-28'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
0sqW0ifkApl9dzYEDHBXqI,"{'id': '0sqW0ifkApl9dzYEDHBXqI', 'duration_ms': 153648, 'name': 'Lit', 'popularity': 20}","{'danceability': 0.808, 'energy': 0.673, 'loudness': -5.839, 'speechiness': 0.0505, 'acousticness': 0.000104, 'instrumentalness': 0, 'liveness': 0.125, 'valence': 0.309, 'tempo': 150.086}","{'id': '3Xn1fnw8wFJAYThGJ0wSFV', 'name': 'Lit', 'release_date': '2023-04-07'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
3vrM7ro6LjxCpBSBeLIfrx,"{'id': '3vrM7ro6LjxCpBSBeLIfrx', 'duration_ms': 254253, 'name': 'Coke Bottle (feat. Mouse)', 'popularity': 15}","{'danceability': 0.722, 'energy': 0.809, 'loudness': -3.793, 'speechiness': 0.262, 'acousticness': 0.0536, 'instrumentalness': 0, 'liveness': 0.0841, 'valence': 0.668, 'tempo': 153.973}","{'id': '4tX8assGk2HIZB1Hh2a5la', 'name': 'Unleashed', 'release_date': '2009-12-18'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
4hp8j244Wcnwp5U4jgFN1k,"{'id': '4hp8j244Wcnwp5U4jgFN1k', 'duration_ms': 196506, 'name': 'Beat It Out The Frame', 'popularity': 14}","{'danceability': 0.803, 'energy': 0.707, 'loudness': -5.966, 'speechiness': 0.0738, 'acousticness': 0.0014, 'instrumentalness': 0, 'liveness': 0.123, 'valence': 0.344, 'tempo': 93.004}","{'id': '4tX8assGk2HIZB1Hh2a5la', 'name': 'Unleashed', 'release_date': '2009-12-18'}","{'id': '1fQ46lgoUCz8FVXdTVNk0a', 'name': 'Hurricane Chris'}"
