artist_id_index,artist_id,artist_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
757aE44tKEUQEqRuT6GnEB,757aE44tKEUQEqRuT6GnEB,Roddy Ricch,0.79,0.58,-7.8,0.19,0.17,0.0,0.22,0.45,107.46
13y7CgLHjMVRMDqxdx0Xdo,13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,0.78,0.61,-6.98,0.21,0.06,0.0,0.19,0.47,141.9
1fQ46lgoUCz8FVXdTVNk0a,1fQ46lgoUCz8FVXdTVNk0a,Hurricane Chris,0.71,0.69,-5.89,0.28,0.04,0.0,0.18,0.53,128.63
2jku7tDXc6XoB6MO2hFuqg,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,0.64,0.59,-7.89,0.17,0.18,0.0,0.18,0.5,112.98
01QTIT5P1pFP3QnnFSdsJf,01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco,0.63,0.79,-5.53,0.2,0.11,0.01,0.19,0.49,102.1
3tlXnStJ1fFhdScmQeLpuG,3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,0.62,0.44,-9.28,0.11,0.42,0.0,0.19,0.45,128.52
0QHgL1lAIqAw0HtD7YldmP,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,0.61,0.64,-4.9,0.14,0.06,0.0,0.21,0.4,122.0
6g8AmloI8egfrr3dm3SnUL,6g8AmloI8egfrr3dm3SnUL,TWENTY88,0.56,0.63,-8.38,0.3,0.14,0.0,0.32,0.45,118.37
1dqGS5sT6PE2wEvP1gROZC,1dqGS5sT6PE2wEvP1gROZC,Flatbush Zombies,0.75,0.57,-9.03,0.19,0.17,0.0,0.21,0.37,108.77
2YZyLoL8N0Wb9xBt1NhZWg,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,0.74,0.62,-6.17,0.15,0.07,0.0,0.14,0.4,119.45
699OTQXzgjhIYAHMy9RyPD,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0.71,0.73,-5.94,0.18,0.09,0.0,0.36,0.45,136.01
6Xgp2XMz1fhVYe7i6yNAax,6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,0.68,0.63,-5.54,0.11,0.16,0.0,0.17,0.4,130.28
2HPaUgqeutzr3jx5a9WyDV,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,0.59,0.51,-7.96,0.07,0.17,0.0,0.15,0.2,114.84
5yPzzu25VzEk8qrGTLIrE1,5yPzzu25VzEk8qrGTLIrE1,Young Nudy,0.76,0.62,-6.98,0.31,0.13,0.0,0.15,0.48,133.94
3x3jSlhyv5CiCZDZlaTq0M,3x3jSlhyv5CiCZDZlaTq0M,Pi’erre Bourne,0.64,0.52,-7.98,0.14,0.23,0.0,0.21,0.37,126.43
6icQOAFXDZKsumw3YXyusw,6icQOAFXDZKsumw3YXyusw,Lil Yachty,0.72,0.61,-6.4,0.18,0.14,0.12,0.13,0.46,133.02
6l3HvQ5sa6mXTsMTB19rO5,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,0.7,0.6,-7.93,0.22,0.22,0.01,0.2,0.44,117.05
3hcs9uc56yIGFCSy9leWe7,3hcs9uc56yIGFCSy9leWe7,Lil Durk,0.75,0.6,-7.28,0.13,0.11,0.0,0.14,0.54,128.1
1URnnhqYAYcrqrcwql10ft,1URnnhqYAYcrqrcwql10ft,21 Savage,0.81,0.62,-8.26,0.17,0.03,0.0,0.13,0.45,152.98
1RyvyyTE3xzB2ZywiAwp0i,1RyvyyTE3xzB2ZywiAwp0i,Future,0.77,0.57,-7.08,0.26,0.04,0.09,0.23,0.26,121.2
46SHBwWsqBkxI7EeeBEQG7,46SHBwWsqBkxI7EeeBEQG7,Kodak Black,0.8,0.61,-6.41,0.14,0.16,0.0,0.14,0.46,118.15
19Fi1Rj7kk8kyiwxpXy3yM,19Fi1Rj7kk8kyiwxpXy3yM,August Alsina,0.59,0.62,-6.85,0.16,0.08,0.0,0.26,0.39,130.83
6X8WdFjrNhXATMDSs26aCc,6X8WdFjrNhXATMDSs26aCc,Curren$y,0.63,0.7,-6.66,0.22,0.18,0.0,0.19,0.5,121.38
23LbwefIODbyGdRbAz3urj,23LbwefIODbyGdRbAz3urj,Yung Joc,0.77,0.6,-6.98,0.13,0.04,0.0,0.22,0.58,126.96
0iEtIxbK0KxaSlF7G42ZOp,0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,0.72,0.6,-5.85,0.16,0.17,0.01,0.14,0.28,113.7
3TVXtAsR1Inumwj472S9r4,3TVXtAsR1Inumwj472S9r4,Drake,0.7,0.54,-7.77,0.17,0.08,0.01,0.23,0.34,128.14
7s47glsDg6fwq9KXNTsTpa,7s47glsDg6fwq9KXNTsTpa,Gudda Gudda,0.69,0.68,-7.88,0.37,0.12,0.0,0.32,0.56,117.77
5YHM0i7v5TqqibZhS0YiuX,5YHM0i7v5TqqibZhS0YiuX,Ryan Trey,0.63,0.54,-7.52,0.19,0.48,0.0,0.15,0.46,104.0
1LrWZc2qPhRCHyr6XtpBxq,1LrWZc2qPhRCHyr6XtpBxq,Dizzy Wright,0.71,0.64,-7.86,0.22,0.14,0.0,0.28,0.52,98.96
2HUwZ0kumzCSlhFcjFZfpp,2HUwZ0kumzCSlhFcjFZfpp,Flipp Dinero,0.76,0.66,-5.97,0.23,0.11,0.0,0.13,0.56,132.62
1sBkRIssrMs1AbVkOJbc7a,1sBkRIssrMs1AbVkOJbc7a,Rick Ross,0.58,0.7,-5.33,0.2,0.07,0.0,0.21,0.39,121.68
0t5qZrvVCo9YIUT87SQrTn,0t5qZrvVCo9YIUT87SQrTn,OJ Da Juiceman,0.78,0.52,-8.87,0.16,0.09,0.0,0.22,0.42,126.19
2OqENqJFXPORP4BUGnu2Qq,2OqENqJFXPORP4BUGnu2Qq,Youngbloodz,0.8,0.64,-7.61,0.28,0.03,0.0,0.24,0.53,109.79
4cmA2QDPdzh8W2ytpyUGes,4cmA2QDPdzh8W2ytpyUGes,Young Scooter,0.78,0.62,-5.97,0.14,0.08,0.0,0.16,0.42,125.5
0TkqXdyWLsssJH7okthMPQ,0TkqXdyWLsssJH7okthMPQ,Jay Electronica,0.56,0.64,-9.5,0.24,0.32,0.01,0.29,0.55,107.54
2cADQgiLMjNhbsfeN52Bf3,2cADQgiLMjNhbsfeN52Bf3,Swizz Beatz,0.64,0.8,-4.9,0.23,0.1,0.0,0.32,0.49,106.0
6oMuImdp5ZcFhWP0ESe6mG,6oMuImdp5ZcFhWP0ESe6mG,Migos,0.85,0.67,-5.14,0.18,0.13,0.0,0.18,0.42,146.0
2iojnBLj0qIMiKPvVhLnsH,2iojnBLj0qIMiKPvVhLnsH,Trey Songz,0.71,0.66,-5.84,0.09,0.18,0.0,0.27,0.44,104.79
6aaMZ3fcfLv4tEbmY7bjRM,6aaMZ3fcfLv4tEbmY7bjRM,Isaiah Rashad,0.75,0.64,-7.02,0.23,0.22,0.02,0.31,0.58,125.66
6XpXnnKHIhCOUbOLOJGe6o,6XpXnnKHIhCOUbOLOJGe6o,REASON,0.69,0.65,-6.69,0.3,0.25,0.0,0.15,0.47,101.66
0VKTLKamj4IH8OfQbUL0kq,0VKTLKamj4IH8OfQbUL0kq,Dem Franchize Boyz,0.76,0.58,-7.79,0.28,0.06,0.0,0.14,0.52,104.21
2RDOrhPqAM4jzTRCEb19qX,2RDOrhPqAM4jzTRCEb19qX,Sheck Wes,0.77,0.54,-7.34,0.19,0.17,0.17,0.18,0.37,136.66
1iNqsUDUraNWrj00bqssQG,1iNqsUDUraNWrj00bqssQG,Dreamville,0.68,0.68,-6.45,0.33,0.24,0.0,0.21,0.5,132.03
4Gso3d4CscCijv0lmajZWs,4Gso3d4CscCijv0lmajZWs,Don Toliver,0.76,0.61,-6.4,0.06,0.26,0.12,0.25,0.5,129.14
7pFeBzX627ff0VnN6bxPR4,7pFeBzX627ff0VnN6bxPR4,Desiigner,0.7,0.63,-6.14,0.19,0.1,0.0,0.23,0.35,122.71
